59 | newdoc | Аэросъёмка | Пилот и оператор с тяжелым коптером и камерой RED Monstro / ARRI Alexa mini LF | смена (8 часов) | смена | 200 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
60 | newdoc | Аэросъёмка | Пилот и оператор с тяжелым коптером и камерой RED Helium / ARRI Alexa mini | смена (8 часов) | смена | 180 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
61 | newdoc | Аэросъёмка | Пилот и оператор с тяжелым коптером и камерой RED Gemini, комплектом оптики | смена (8 часов) | смена | 160 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
62 | newdoc | Аэросъёмка | Пилот и оператор с тяжелым коптером и камерой RED Komodo / RED Dragon, комплектом оптики | смена (8 часов) | смена | 120 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
63 | newdoc | Аэросъёмка | Пилот и оператор с коптером DJI Inspire2, камерой X7 с лицензиями ProRes/CinemaDNG | смена (8 часов) | смена | 80 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
64 | newdoc | Аэросъёмка | Пилот и оператор с коптером DJI Inspire2, камерой X5S с лицензиями ProRes/CinemaDNG | смена (8 часов) | смена | 60 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
65 | newdoc | Аэросъёмка | Оператор с коптером DJI Mavic 3 Cine | смена (8 часов) | смена | 55 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
66 | newdoc | Аэросъёмка | Оператор с коптером DJI Mavic 3 | смена (8 часов) | смена | 40 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
67 | newdoc | Аэросъёмка | Оператор с коптером DJI Phantom 4 Pro, DJI Mavic 2 Pro, DJI Mavic Air 2S | смена (8 часов) | смена | 25 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
68 | newdoc | Аэросъёмка | Оператор с коптером DJI Phantom 4, DJI Mavic 2 Zoom, DJI Mavic Air 2, DJI Mini 3 Pro | смена (8 часов) | смена | 20 000 | с 9-го ч: 10% с 11-го ч: 15% с 13-го ч: 20% | Ассоциация профессионалов аэрокинематографии — письмо от 01.04.2025 | https://kinoprofsoyuz.ru/pip/wp-content/uploads/2025/03/apak-obrashhenie-k-prodyuseram-2025.pdf
148 | check | Звуковой цех (пост) | Звукорежиссер | миксинг, 10 минут материала | минута | 25 000 |  | Реестр «Точно продюсер» (07.02.2025) | 
149 | check | Звуковой цех (пост) | Звукорежиссер | саунд-дизайн, 5 минут материала | минута | 15 000 |  | Реестр «Точно продюсер» (07.02.2025) | 
150 | check | Каскадерский цех | Постановщик трюков | аккорд (неделя) | аккорд | 260 000 | с 13-го ч: 20% с 14-го ч: 30% с 15-го ч: + смена | Каскадерско-пиротехнический цех — письмо от 07.02.2025 | 
151 | check | Каскадерский цех | Каскадер | аккорд (неделя) | аккорд | 140 000 | с 13-го ч: 20% с 14-го ч: 30% с 15-го ч: + смена | Каскадерско-пиротехнический цех — письмо от 07.02.2025 | 
152 | check | Каскадерский цех | Постановщик трюков | смена | смена | 45 000 | с 13-го ч: 20% с 14-го ч: 30% с 15-го ч: + смена | Каскадерско-пиротехнический цех — письмо от 07.02.2025 | 
153 | check | Каскадерский цех | Каскадер | смена | смена | 25 000 | с 13-го ч: 20% с 14-го ч: 30% с 15-го ч: + смена | Каскадерско-пиротехнический цех — письмо от 07.02.2025 | 
220 | check | Операторский цех | Второй оператор, камерамэн, ассистент оператора по фокусу | Реклама, смена (10 часов) | смена | 34 000 | с 11-го ч: 5000 с 19-го ч: 10 000 с 24-го ч: 20 000 | Требуется первоисточник | 
